title,artist,cover,year,id,hasSleeve
Limón Limón& Scoobert Doobert,3:00,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC1102241100.jpeg,Yearning,classical piano-classical-classical piano-classical,TRUE
No-No Boy,1975,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224171.jpeg,Yearning,classical piano-classical-classical-classical piano,TRUE
Dr. Dre& Eminem& Xzibit,2001,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224170.jpeg,Sensual,americana,TRUE
Eliza Gilkyson,2020,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource91.jpg,Serious,classical piano-classical-classical-classical piano,TRUE
Molly Tuttle,...but i'd rather be with you,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource79.jpg,Somber,classical piano-classical-classical piano-classical,TRUE
Lime Cordiale,14 Steps To A Better You,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource92.jpg,Upbeat,americana-bluegrass-alt country-folk-southern gothic,TRUE
Van Halen,1984 (Remastered),https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224176.jpeg,Romantic,americana,TRUE
The Bottle Rockets,24 Hours A Day,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC1102241101.jpeg,Fiery,country-classic country,TRUE
The Bottle Rockets,24 Hours A Day,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224196.jpeg,Yearning,edm-dance,TRUE
The Bottle Rockets,24 Hours A Day,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224172.jpeg,Fiery,free jazz-jazz-free jazz-jazz,TRUE
Gitkin,5 Star Motel,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224197.jpeg,Serious,americana,TRUE
Eric Church,61 Days In Church Volume 2,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224182.jpeg,Sensual,free jazz-jazz-free jazz-jazz,TRUE
Manchester Orchestra,A Black Mile To The Surface,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource83.jpg,Sensual,americana,TRUE
Patty Griffin,A Kiss In Time,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource84.jpg,Sensual,art rock,TRUE
Coldplay,A Rush of Blood to the Head,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224198.jpeg,Serious,alt country-anti-folk-folk punk-singer-songwriter-americana-alt country-americana-indie rock,TRUE
Jenny Lewis,Acid Tongue,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource819.jpeg,Sensual,idm-ambient,TRUE
Lydian Collective,Adventure,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224183.jpeg,Rowdy,alt country-americana-roots rock,TRUE
Amanaz,Africa,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC1102241110.jpeg,Fiery,alt country-americana-bluegrass,TRUE
Manu Dibango,African Voodoo,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC1102241102.jpeg,Fiery,free jazz-jazz-free jazz-jazz,TRUE
Mac Hanson,Alfa Romeo,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224175.jpeg,Brooding,alt country-americana-roots rock,TRUE
The Revivalists,All My Friends,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource89.jpg,Stirring,free jazz-jazz-free jazz-jazz,TRUE
Eric Church,All My Friends: Celebrating The Songs & Voice Of Gregg Allman,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224192.jpeg,Fiery,acid jazz-jazz funk,TRUE
Eric Church,All My Friends: Celebrating The Songs & Voice Of Gregg Allman,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource88.jpg,Fiery,alt country-americana,TRUE
Jackson Browne& Gregg Allman,All My Friends: Celebrating The Songs & Voice Of Gregg Allman,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224191.jpeg,Fiery,alt country-americana,TRUE
Jackson Browne& Gregg Allman,All My Friends: Celebrating The Songs & Voice Of Gregg Allman,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource821.jpeg,Urgent,alt country-americana-outlaw country,TRUE
Allman Brothers Band,All My Friends: Celebrating The Songs & Voice Of Gregg Allman,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224177.jpeg,Melancholy,alt country-americana-outlaw country,TRUE
U2,All That You Can't Leave Behind,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224193.jpeg,Yearning,classical piano-classical-classical piano-classical,TRUE
MC YOGI,All the Love in the World,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC11022414.jpeg,Fiery,alt country-americana-roots rock,TRUE
Tinariwen,Amassakoul,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224169.jpeg,Yearning,alt country-americana-outlaw country,TRUE
Hot Tuna,America's Choice,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224154.jpeg,Stirring,art rock,TRUE
